性别,民族,生源地（北方/南方）,耳垂,舌型,美人尖,拇指类型,环食指长,扣手,眼睑,酒窝,ABO血型
女,汉族,秦岭淮河以北,无耳垂,卷舌,有尖,过伸型,环指长,右手拇指在上,双眼皮,有,O
女,汉族,秦岭淮河以北,无耳垂,卷舌,有尖,直型,环指长,右手拇指在上,双眼皮,无,O
女,汉族,秦岭淮河以北,有耳垂,卷舌,无尖,直型,食指长,左手拇指在上,双眼皮,有,O
男,汉族,秦岭淮河以南,有耳垂,卷舌,无尖,过伸型,环指长,左手拇指在上,双眼皮,有,A
女,汉族,秦岭淮河以南,有耳垂,卷舌,无尖,直型,环指长,右手拇指在上,双眼皮,有,B
女,汉族,秦岭淮河以北,有耳垂,卷舌,有尖,过伸型,环指长,左手拇指在上,单眼皮,有,O
男,少数民族,秦岭淮河以北,有耳垂,卷舌,无尖,过伸型,环指长,左手拇指在上,双眼皮,无,A
女,少数民族,秦岭淮河以北,无耳垂,卷舌,无尖,直型,食指长,左手拇指在上,双眼皮,无,O
女,汉族,秦岭淮河以北,有耳垂,卷舌,有尖,直型,环指长,左手拇指在上,单眼皮,无,A
男,汉族,秦岭淮河以北,无耳垂,卷舌,有尖,直型,食指长,左手拇指在上,单眼皮,无,O
女,汉族,秦岭淮河以南,有耳垂,卷舌,无尖,过伸型,环指长,右手拇指在上,双眼皮,无,B
女,汉族,秦岭淮河以北,有耳垂,卷舌,无尖,直型,环指长,左手拇指在上,双眼皮,有,O
男,汉族,秦岭淮河以南,有耳垂,卷舌,有尖,直型,食指长,右手拇指在上,双眼皮,有,AB
男,汉族,秦岭淮河以北,有耳垂,卷舌,无尖,直型,环指长,右手拇指在上,单眼皮,无,O
男,汉族,秦岭淮河以北,无耳垂,卷舌,有尖,直型,食指长,左手拇指在上,单眼皮,无,AB
男,汉族,秦岭淮河以南,无耳垂,卷舌,无尖,直型,环指长,右手拇指在上,双眼皮,有,B
男,汉族,秦岭淮河以北,有耳垂,卷舌,有尖,过伸型,环指长,左手拇指在上,单眼皮,有,O
男,汉族,秦岭淮河以北,有耳垂,直舌,无尖,过伸型,环指长,左手拇指在上,双眼皮,无,AB
男,汉族,秦岭淮河以北,有耳垂,直舌,有尖,直型,食指长,左手拇指在上,双眼皮,有,B
女,汉族,秦岭淮河以南,无耳垂,卷舌,无尖,过伸型,环指长,右手拇指在上,单眼皮,无,O
女,汉族,秦岭淮河以北,有耳垂,卷舌,无尖,过伸型,环指长,左手拇指在上,双眼皮,无,B
男,汉族,秦岭淮河以南,有耳垂,卷舌,无尖,直型,环指长,左手拇指在上,双眼皮,无,A
男,汉族,秦岭淮河以北,有耳垂,卷舌,无尖,过伸型,食指长,左手拇指在上,双眼皮,有,O
女,汉族,秦岭淮河以南,有耳垂,直舌,有尖,过伸型,环指长,左手拇指在上,双眼皮,无,B
女,汉族,秦岭淮河以北,无耳垂,直舌,无尖,直型,环指长,右手拇指在上,双眼皮,有,AB
女,汉族,秦岭淮河以北,无耳垂,直舌,无尖,过伸型,环指长,左手拇指在上,双眼皮,无,B
女,汉族,秦岭淮河以北,有耳垂,卷舌,无尖,直型,环指长,右手拇指在上,双眼皮,无,B
男,汉族,秦岭淮河以北,无耳垂,卷舌,有尖,直型,食指长,右手拇指在上,单眼皮,无,O
男,少数民族,秦岭淮河以北,有耳垂,直舌,有尖,过伸型,环指长,右手拇指在上,双眼皮,有,AB
