Lane #	Band #	Peak Rf	Peak value	Raw volume	Cal. volume	MW
1	1	0.468	70	823	-	544
1	2	0.837	205	2862	-	115
2	1	0.446	156	965	-	603
3	1	0.479	60	798	-	517
3	2	0.837	212	2712	-	115
4	1	0.441	56	618	-	619
4	2	0.837	230	3490	-	115
5	1	0.457	126	951	-	573
6	1	0.381	129	699	-	826
6	2	0.414	117	697	-	705
6	3	0.837	28	252	-	115
7	1	0.506	116	1072	-	455
8	1	0.261	102	728	-	1500
8	2	0.343	91	260	-	1000
8	3	0.359	123	539	-	900
8	4	0.381	113	404	-	800
8	5	0.414	96	497	-	700
8	6	0.446	93	517	-	600
8	7	0.495	184	856	-	500
8	8	0.544	74	477	-	400
8	9	0.609	70	527	-	300
8	10	0.702	77	529	-	200
8	11	0.805	47	387	-	100
9	1	0.544	152	943	-	381
9	2	0.854	230	3586	-	109
10	1	0.511	60	716	-	443
10	2	0.859	216	3161	-	107
11	1	0.386	37	355	-	804
11	2	0.495	99	833	-	478
12	1	0.435	98	1014	-	635
12	2	0.473	103	666	-	530
13	1	0.43	80	781	-	652
13	2	0.479	78	726	-	517
14	1	0.43	97	854	-	652
14	2	0.468	83	447	-	544
14	3	0.854	29	348	-	109
15	1	0.468	43	485	-	544
15	2	0.865	203	2617	-	105

