Lane #	Band #	Peak Rf	Peak value	Raw volume	Cal. volume	MW
1	1	0.306	91	737	-	1500
1	2	0.381	109	582	-	1000
1	3	0.393	123	684	-	900
1	4	0.413	112	589	-	800
1	5	0.437	97	581	-	700
1	6	0.465	87	610	-	600
1	7	0.5	141	878	-	500
1	8	0.54	69	521	-	400
1	9	0.596	71	426	-	300
1	10	0.663	72	538	-	200
1	11	0.75	53	455	-	100
2	1	0.473	117	1471	-	579
2	2	0.782	248	4025	-	95
3	1	0.481	163	1335	-	554
3	2	0.786	249	4426	-	93
4	1	0.437	178	1012	-	711
4	2	0.497	191	1371	-	506
4	3	0.774	50	731	-	100
5	1	0.481	163	1369	-	554
5	2	0.536	196	1574	-	403
5	3	0.778	246	4110	-	98
6	1	0.461	140	1236	-	620
6	2	0.497	153	1294	-	506
6	3	0.778	253	4692	-	98
7	1	0.433	113	814	-	727
7	2	0.457	101	809	-	635
7	3	0.778	244	4241	-	98
8	1	0.508	198	1544	-	472
8	2	0.536	153	1028	-	403
8	3	0.778	245	4291	-	98
9	1	0.477	99	1361	-	566
9	2	0.782	228	2263	-	95
10	1	0.481	220	2792	-	554
10	2	0.778	250	4141	-	98
11	1	0.473	128	1270	-	579
11	2	0.778	252	5470	-	98
12	1	0.5	194	1512	-	494
12	2	0.54	165	1253	-	394
12	3	0.778	249	5035	-	98

