Lane #, Band #, Peak Rf, Peak value, Raw volume, Cal. volume, MW
1, 1, 0.179, 68, 428, -, 1500
1, 2, 0.249, 63, 438, -, 1000
1, 3, 0.271, 91, 564, -, 900
1, 4, 0.292, 83, 570, -, 800
1, 5, 0.319, 74, 548, -, 700
1, 6, 0.352, 76, 552, -, 600
1, 7, 0.392, 130, 987, -, 500
1, 8, 0.433, 63, 497, -, 400
1, 9, 0.487, 61, 551, -, 300
1, 10, 0.557, 64, 547, -, 200
1, 11, 0.638, 42, 454, -, 100
2, 1, 0.336, 50, 399, -, 647
2, 2, 0.43, 69, 445, -, 390
2, 3, 0.671, 212, 3564, -, 105
3, 1, 0.341, 44, 604, -, 628
3, 2, 0.387, 48, 436, -, 492
3, 3, 0.668, 156, 1985, -, 106
4, 1, 0.328, 51, 544, -, 675
4, 2, 0.403, 70, 441, -, 451
4, 3, 0.663, 170, 2088, -, 109
5, 1, 0.365, 192, 1757, -, 552
5, 2, 0.663, 219, 3967, -, 109
6, 1, 0.401, 147, 1132, -, 458
6, 2, 0.66, 199, 3363, -, 111
7, 1, 0.336, 44, 640, -, 647
7, 2, 0.392, 47, 456, -, 478
7, 3, 0.657, 209, 3699, -, 113
8, 1, 0.19, 39, 239, -, 1400
8, 2, 0.301, 50, 585, -, 779
8, 3, 0.39, 71, 502, -, 485
8, 4, 0.655, 210, 3693, -, 115
9, 1, 0.265, 144, 2383, -, 938
9, 2, 0.303, 60, 712, -, 768
9, 3, 0.363, 54, 624, -, 560
9, 4, 0.652, 209, 2646, -, 116
10, 1, 0.298, 49, 713, -, 790
10, 2, 0.646, 174, 2212, -, 120
11, 1, 0.122, 59, 404, -, 1999
11, 2, 0.198, 58, 379, -, 1341
11, 3, 0.219, 75, 527, -, 1197
11, 4, 0.241, 72, 537, -, 1067
11, 5, 0.268, 63, 514, -, 925
11, 6, 0.301, 62, 551, -, 779
11, 7, 0.341, 101, 860, -, 628
11, 8, 0.384, 51, 395, -, 499
11, 9, 0.441, 50, 559, -, 368
11, 10, 0.514, 54, 525, -, 249
11, 11, 0.598, 38, 392, -, 157
