File,Lane #,MW,RepeatNum,HomoOrHeter
..\data\data8-1.csv,5,[349.0],[12.75],homo
..\data\data8-1.csv,2,[356.0],[13.1875],homo
..\data\data8-2.csv,2,[356.0],[13.1875],homo
..\data\data1.csv,9,[381.0],[14.75],homo
..\data\data6-2.csv,10,[391.0],[15.375],homo
..\data\data7-2.csv,7,[397.0],[15.75],homo
..\data\data6-2.csv,12,[400.0],[15.9375],homo
..\data\data6-1.csv,3,[412.0],[16.6875],homo
..\data\data6-3.csv,2,[419.0],[17.125],homo
..\data\data6-1.csv,5,[420.0],[17.1875],homo
..\data\data6-1.csv,12,[420.0],[17.1875],homo
..\data\data3-2.csv,10,[423.0],[17.375],homo
..\data\data9-2.csv,8,[425.0],[17.5],homo
..\data\data1.csv,10,[443.0],[18.625],homo
..\data\data6-1.csv,4,"[444.0, 382.0]","[18.6875, 14.8125]",heter
..\data\data3-2.csv,1,[449.0],[19.0],homo
..\data\data10-1.csv,11,[451.0],[19.125],homo
..\data\data8-1.csv,1,"[451.0, 349.0]","[19.125, 12.75]",heter
..\data\data8-2.csv,1,"[451.0, 349.0]","[19.125, 12.75]",heter
..\data\data1.csv,7,[455.0],[19.375],homo
..\data\data4-1.csv,6,[458.0],[19.5625],homo
..\data\data8-1.csv,7,[467.0],[20.125],homo
..\data\data10-1.csv,8,[468.0],[20.1875],homo
..\data\data10-1.csv,16,"[468.0, 419.0]","[20.1875, 17.125]",heter
..\data\data7-2.csv,11,[472.0],[20.4375],homo
..\data\data10-2.csv,8,"[472.0, 403.0]","[20.4375, 16.125]",heter
..\data\data8-1.csv,8,"[476.0, 376.0]","[20.6875, 14.4375]",heter
..\data\data7-2.csv,8,[482.0],[21.0625],homo
..\data\data8-1.csv,3,[485.0],[21.25],homo
..\data\data8-2.csv,3,[485.0],[21.25],homo
..\data\data9-2.csv,2,[485.0],[21.25],homo
..\data\data3-1.csv,2,"[489.0, 417.0]","[21.5, 17.0]",heter
..\data\data9-1.csv,10,"[491.0, 369.0]","[21.625, 14.0]",heter
..\data\data6-2.csv,2,[494.0],[21.8125],homo
..\data\data10-2.csv,12,"[494.0, 394.0]","[21.8125, 15.5625]",heter
..\data\data2-1.csv,5,"[496.0, 403.0]","[21.9375, 16.125]",heter
..\data\data3-2.csv,5,[497.0],[22.0],homo
..\data\data3-2.csv,6,"[497.0, 390.0]","[22.0, 15.3125]",heter
..\data\data8-1.csv,4,"[503.0, 427.0]","[22.375, 17.625]",heter
..\data\data7-1.csv,14,[505.0],[22.5],homo
..\data\data3-1.csv,1,"[509.0, 400.0]","[22.75, 15.9375]",heter
..\data\data9-2.csv,7,"[513.0, 410.0]","[23.0, 16.5625]",heter
..\data\data9-2.csv,9,"[513.0, 433.0]","[23.0, 18.0]",heter
..\data\data5-2.csv,1,"[515.0, 403.0]","[23.125, 16.125]",heter
..\data\data1.csv,3,[517.0],[23.25],homo
..\data\data7-2.csv,10,[526.0],[23.8125],homo
..\data\data2-1.csv,9,"[531.0, 390.0]","[24.125, 15.3125]",heter
..\data\data2-1.csv,12,"[531.0, 447.0]","[24.125, 18.875]",heter
..\data\data7-1.csv,2,"[532.0, 431.0]","[24.1875, 17.875]",heter
..\data\data5-2.csv,8,[535.0],[24.375],homo
..\data\data9-1.csv,11,[535.0],[24.375],homo
..\data\data6-2.csv,7,"[538.0, 367.0]","[24.5625, 13.875]",heter
..\data\data1.csv,1,[544.0],[24.9375],homo
..\data\data1.csv,15,[544.0],[24.9375],homo
..\data\data5-2.csv,4,"[546.0, 460.0]","[25.0625, 19.6875]",heter
..\data\data7-2.csv,6,"[549.0, 380.0]","[25.25, 14.6875]",heter
..\data\data2-1.csv,11,"[550.0, 377.0]","[25.3125, 14.5]",heter
..\data\data2-1.csv,13,"[550.0, 463.0]","[25.3125, 19.875]",heter
..\data\data4-1.csv,5,[552.0],[25.4375],homo
..\data\data8-1.csv,6,"[552.0, 349.0]","[25.4375, 12.75]",heter
..\data\data10-2.csv,3,[554.0],[25.5625],homo
..\data\data10-2.csv,10,[554.0],[25.5625],homo
..\data\data10-2.csv,5,"[554.0, 403.0]","[25.5625, 16.125]",heter
..\data\data4-2.csv,2,[559.0],[25.875],homo
..\data\data7-1.csv,8,"[561.0, 446.0]","[26.0, 18.8125]",heter
..\data\data10-1.csv,10,[562.0],[26.0625],homo
..\data\data9-2.csv,5,"[564.0, 450.0]","[26.1875, 19.0625]",heter
..\data\data10-2.csv,9,[566.0],[26.3125],homo
..\data\data10-1.csv,3,"[572.0, 513.0]","[26.6875, 23.0]",heter
..\data\data1.csv,5,[573.0],[26.75],homo
