Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,
,红、长、直    ╋ ╋ ╋,1509,1122,458,339,3428,,红、长、直    ╋ ╋ ╋,2980,1104,845,323,5252
,白、小、焦     ━ ━ ━,1095,959,298,259,2611,,白、小、焦     ━ ━ ━,66,795,41,309,1211
,白、长、直     ━ ╋ ╋,252,211,70,68,601,,白、长、直     ━ ╋ ╋,20,157,13,49,239
,红、小、焦     ╋ ━ ━,186,181,70,54,491,,红、小、焦     ╋ ━ ━,37,167,25,54,283
,红、长、焦     ╋ ╋ ━,91,73,29,21,214,,红、长、焦     ╋ ╋ ━,69,39,26,23,157
,白、小、直     ━ ━ ╋,90,67,26,29,212,,白、小、直     ━ ━ ╋,13,46,12,17,88
,红、小、直     ╋ ━ ╋,283,251,99,84,717,,红、小、直     ╋ ━ ╋,125,195,54,77,451
,白、长、焦     ━ ╋ ━,292,218,74,100,684,,白、长、焦     ━ ╋ ━,39,191,11,34,275
,体色合计,6880,,2078,,8958,,体色合计,6043,,1913,,7956
,性别合计,3798,3082,1124,954,,,性别合计,3349,2694,1027,886,
,性别合计,♀,4922,♂,4036,,,性别合计,♀,4376,♂,3580,
