Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,2,1,1,,4,,红、长、直    ╋ ╋ ╋,15,3,,,18,
,白、小、焦     ━ ━ ━,1,3,,,4,,白、小、焦     ━ ━ ━,,1,,,1,
,白、长、直     ━ ╋ ╋,,,,,0,,白、长、直     ━ ╋ ╋,,,,,0,
,红、小、焦     ╋ ━ ━,1,2,,,3,,红、小、焦     ╋ ━ ━,,1,,,1,
,红、长、焦     ╋ ╋ ━,,,,,0,,红、长、焦     ╋ ╋ ━,,,,,0,
,白、小、直     ━ ━ ╋,,1,,,1,,白、小、直     ━ ━ ╋,,,,,0,
,红、小、直     ╋ ━ ╋,1,,,,1,,红、小、直     ╋ ━ ╋,2,,2,1,5,
,白、长、焦     ━ ╋ ━,,1,,,1,,白、长、焦     ━ ╋ ━,,,,,0,
,体色合计,13,,1,,14,,体色合计,22,,3,,25,
,性别合计,5,8,1,0,,,性别合计,17,5,2,1,,果蝇总数
,性别合计,♀,6,♂,8,,,性别合计,♀,19,♂,6,,39
