Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,15,14,2,3,34,,红、长、直    ╋ ╋ ╋,36,16,14,8,74,
,白、小、焦     ━ ━ ━,11,8,1,0,20,,白、小、焦     ━ ━ ━,1,11,0,3,15,
,白、长、直     ━ ╋ ╋,4,0,0,0,4,,白、长、直     ━ ╋ ╋,0,7,0,1,8,
,红、小、焦     ╋ ━ ━,1,2,1,0,4,,红、小、焦     ╋ ━ ━,0,2,0,1,3,
,红、长、焦     ╋ ╋ ━,5,4,0,0,9,,红、长、焦     ╋ ╋ ━,0,0,0,0,0,
,白、小、直     ━ ━ ╋,0,0,0,0,0,,白、小、直     ━ ━ ╋,0,0,0,0,0,
,红、小、直     ╋ ━ ╋,1,0,1,0,2,,红、小、直     ╋ ━ ╋,0,2,0,0,2,
,白、长、焦     ━ ╋ ━,5,3,0,0,8,,白、长、焦     ━ ╋ ━,0,4,0,0,4,
,体色合计,73,,8,,81,,体色合计,79,,27,,106,
,性别合计,42,31,5,3,,,性别合计,37,42,14,13,,果蝇总数
,性别合计,♀,47,♂,34,,,性别合计,♀,51,♂,55,,187
