Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,4,1,,,5,,红、长、直    ╋ ╋ ╋,24,9,4,2,39,
,白、小、焦     ━ ━ ━,2,1,,,3,,白、小、焦     ━ ━ ━,,4,,1,5,
,白、长、直     ━ ╋ ╋,1,,,,1,,白、长、直     ━ ╋ ╋,1,3,,,4,
,红、小、焦     ╋ ━ ━,1,,,,1,,红、小、焦     ╋ ━ ━,,3,,,3,
,红、长、焦     ╋ ╋ ━,,,,,0,,红、长、焦     ╋ ╋ ━,,,,,0,
,白、小、直     ━ ━ ╋,,,,,0,,白、小、直     ━ ━ ╋,,,,,0,
,红、小、直     ╋ ━ ╋,,,,,0,,红、小、直     ╋ ━ ╋,1,1,,,2,
,白、长、焦     ━ ╋ ━,,,,,0,,白、长、焦     ━ ╋ ━,,,,,0,
,体色合计,10,,0,,10,,体色合计,46,,7,,53,
,性别合计,8,2,0,0,,,性别合计,26,20,4,3,,果蝇总数
,性别合计,♀,8,♂,2,,,性别合计,♀,30,♂,23,,63
