Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,28,15,16,9,68,,红、长、直    ╋ ╋ ╋,25,4,8,2,39,
,白、小、焦     ━ ━ ━,18,10,9,7,44,,白、小、焦     ━ ━ ━,,6,,1,7,
,白、长、直     ━ ╋ ╋,4,3,2,1,10,,白、长、直     ━ ╋ ╋,,1,,1,2,
,红、小、焦     ╋ ━ ━,1,2,2,0,5,,红、小、焦     ╋ ━ ━,,,,,0,
,红、长、焦     ╋ ╋ ━,0,0,1,0,1,,红、长、焦     ╋ ╋ ━,,,,,0,
,白、小、直     ━ ━ ╋,0,0,0,0,0,,白、小、直     ━ ━ ╋,,,,,0,
,红、小、直     ╋ ━ ╋,4,1,2,1,8,,红、小、直     ╋ ━ ╋,,2,,1,3,
,白、长、焦     ━ ╋ ━,3,2,1,1,7,,白、长、焦     ━ ╋ ━,,,,,0,
,体色合计,91,,52,,143,,体色合计,38,,13,,51,
,性别合计,58,33,33,19,,,性别合计,25,13,8,5,,果蝇总数
,性别合计,♀,91,♂,52,,,性别合计,♀,33,♂,18,,194
