Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,24,19,3,3,49,,红、长、直    ╋ ╋ ╋,23,9,11,2,45,
,白、小、焦     ━ ━ ━,14,17,4,3,38,,白、小、焦     ━ ━ ━,0,13,0,2,15,
,白、长、直     ━ ╋ ╋,2,3,0,0,5,,白、长、直     ━ ╋ ╋,0,0,0,0,0,
,红、小、焦     ╋ ━ ━,1,2,0,0,3,,红、小、焦     ╋ ━ ━,0,0,0,0,0,
,红、长、焦     ╋ ╋ ━,0,0,0,0,0,,红、长、焦     ╋ ╋ ━,0,0,0,0,0,
,白、小、直     ━ ━ ╋,0,0,1,0,1,,白、小、直     ━ ━ ╋,0,0,0,0,0,
,红、小、直     ╋ ━ ╋,0,4,2,3,9,,红、小、直     ╋ ━ ╋,0,0,0,0,0,
,白、长、焦     ━ ╋ ━,9,1,0,0,10,,白、长、焦     ━ ╋ ━,1,0,0,0,1,
,体色合计,96,,19,,115,,体色合计,46,,15,,61,
,性别合计,50,46,10,9,,,性别合计,24,22,11,4,,果蝇总数
,性别合计,♀,60,♂,55,,,性别合计,♀,35,♂,26,,176
