Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,25,19,7,9,60,,红、长、直    ╋ ╋ ╋,53,17,18,8,96,
,白、小、焦     ━ ━ ━,22,12,6,2,42,,白、小、焦     ━ ━ ━,0,20,0,0,20,
,白、长、直     ━ ╋ ╋,9,1,1,0,11,,白、长、直     ━ ╋ ╋,0,4,0,2,6,
,红、小、焦     ╋ ━ ━,3,2,2,0,7,,红、小、焦     ╋ ━ ━,0,3,0,2,5,
,红、长、焦     ╋ ╋ ━,0,0,0,0,0,,红、长、焦     ╋ ╋ ━,0,0,0,0,0,
,白、小、直     ━ ━ ╋,4,2,2,0,8,,白、小、直     ━ ━ ╋,0,0,0,0,0,
,红、小、直     ╋ ━ ╋,4,3,2,1,10,,红、小、直     ╋ ━ ╋,0,5,0,1,6,
,白、长、焦     ━ ╋ ━,4,1,0,0,5,,白、长、焦     ━ ╋ ━,0,2,0,0,2,
,体色合计,111,,32,,143,,体色合计,104,,31,,135,
,性别合计,71,40,20,12,,,性别合计,53,51,18,13,,果蝇总数
,性别合计,♀,91,♂,52,,,性别合计,♀,71,♂,64,,278
