Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,13,14,8,7,42,,红、长、直    ╋ ╋ ╋,16,19,0,1,36,
,白、小、焦     ━ ━ ━,13,1,9,3,26,,白、小、焦     ━ ━ ━,0,3,0,0,3,
,白、长、直     ━ ╋ ╋,2,1,0,1,4,,白、长、直     ━ ╋ ╋,0,3,0,0,3,
,红、小、焦     ╋ ━ ━,2,0,0,0,2,,红、小、焦     ╋ ━ ━,0,0,0,0,0,
,红、长、焦     ╋ ╋ ━,3,1,0,2,6,,红、长、焦     ╋ ╋ ━,2,2,0,0,4,
,白、小、直     ━ ━ ╋,4,2,0,1,7,,白、小、直     ━ ━ ╋,0,0,0,0,0,
,红、小、直     ╋ ━ ╋,4,2,2,3,11,,红、小、直     ╋ ━ ╋,2,0,0,0,2,
,白、长、焦     ━ ╋ ━,9,4,3,2,18,,白、长、焦     ━ ╋ ━,0,0,0,0,0,
,体色合计,75,,41,,116,,体色合计,47,,1,,48,
,性别合计,50,25,22,19,,,性别合计,20,27,0,1,,果蝇总数
,性别合计,♀,72,♂,44,,,性别合计,♀,20,♂,28,,164
