Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,14,16,6,3,39,,红、长、直    ╋ ╋ ╋,37,12,15,5,69,
,白、小、焦     ━ ━ ━,11,8,2,4,25,,白、小、焦     ━ ━ ━,0,8,0,2,10,
,白、长、直     ━ ╋ ╋,4,2,0,0,6,,白、长、直     ━ ╋ ╋,0,2,0,1,3,
,红、小、焦     ╋ ━ ━,7,6,4,1,18,,红、小、焦     ╋ ━ ━,0,2,0,1,3,
,红、长、焦     ╋ ╋ ━,2,2,0,0,4,,红、长、焦     ╋ ╋ ━,0,1,0,1,2,
,白、小、直     ━ ━ ╋,1,0,1,0,2,,白、小、直     ━ ━ ╋,0,0,0,0,0,
,红、小、直     ╋ ━ ╋,6,2,0,1,9,,红、小、直     ╋ ━ ╋,0,3,0,1,4,
,白、长、焦     ━ ╋ ━,1,4,1,0,6,,白、长、焦     ━ ╋ ━,0,1,0,0,1,
,体色合计,86,,23,,109,,体色合计,66,,26,,92,
,性别合计,46,40,14,9,,,性别合计,37,29,15,11,,果蝇总数
,性别合计,♀,60,♂,49,,,性别合计,♀,52,♂,40,,201
