Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,22,19,5,4,50,,红、长、直    ╋ ╋ ╋,24,54,5,2,85,
,白、小、焦     ━ ━ ━,22,29,7,5,63,,白、小、焦     ━ ━ ━,3,10,,,13,
,白、长、直     ━ ╋ ╋,2,3,1,,6,,白、长、直     ━ ╋ ╋,,,,,0,
,红、小、焦     ╋ ━ ━,,4,2,1,7,,红、小、焦     ╋ ━ ━,3,5,2,1,11,
,红、长、焦     ╋ ╋ ━,,,,,0,,红、长、焦     ╋ ╋ ━,,,,,0,
,白、小、直     ━ ━ ╋,2,2,1,,5,,白、小、直     ━ ━ ╋,,6,,,6,
,红、小、直     ╋ ━ ╋,5,5,5,4,19,,红、小、直     ╋ ━ ╋,6,7,,,13,
,白、长、焦     ━ ╋ ━,2,2,,,4,,白、长、焦     ━ ╋ ━,1,3,,,4,
,体色合计,119,,35,,154,,体色合计,122,,10,,132,
,性别合计,55,64,21,14,,,性别合计,37,85,7,3,,果蝇总数
,性别合计,♀,76,♂,78,,,性别合计,♀,44,♂,88,,286
