Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,17,19,5,2,43,,红、长、直    ╋ ╋ ╋,36,10,10,2,58,
,白、小、焦     ━ ━ ━,15,13,3,3,34,,白、小、焦     ━ ━ ━,0,13,0,0,13,
,白、长、直     ━ ╋ ╋,2,2,0,0,4,,白、长、直     ━ ╋ ╋,0,1,0,1,2,
,红、小、焦     ╋ ━ ━,1,3,0,0,4,,红、小、焦     ╋ ━ ━,0,5,0,0,5,
,红、长、焦     ╋ ╋ ━,1,0,0,0,1,,红、长、焦     ╋ ╋ ━,0,0,0,0,0,
,白、小、直     ━ ━ ╋,0,0,0,0,0,,白、小、直     ━ ━ ╋,0,0,0,0,0,
,红、小、直     ╋ ━ ╋,6,2,1,1,10,,红、小、直     ╋ ━ ╋,0,6,0,0,6,
,白、长、焦     ━ ╋ ━,6,2,1,1,10,,白、长、焦     ━ ╋ ━,0,2,0,0,2,
,体色合计,89,,17,,106,,体色合计,73,,13,,86,
,性别合计,48,41,10,7,,,性别合计,36,37,10,3,,果蝇总数
,性别合计,♀,58,♂,48,,,性别合计,♀,46,♂,40,,192
